"trial_name","trial_id","session","trial","trial_text","keylog","editor","operating_system","age_group","dialect","gender","character_type","trial_date","uniq","token","token_type","chinese_id","segment","text_seg_id"
"tang_session1_trial2",1,1,2,"TangPoem","xia1ma1yinliao_*junz1*jiu1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","0","x","initial","1","1","TangPoem_1"
"tang_session2_trial1",1,2,1,"TangPoem","xiama_yinjunjiu_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","0","x","initial","1","1","TangPoem_1"
"tang_session2_trial2",1,2,2,"TangPoem","xiama_yinjunjiu_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","0","x","initial","1","1","TangPoem_1"
"tang_session5_trial1",1,5,1,"TangPoem","xiamayinjunjiu2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","0","x","initial","1","1","TangPoem_1"
"tang_session6_trial1",1,6,1,"TangPoem","xiamayinjunjiu1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","0","x","initial","1","1","TangPoem_1"
"tang_session6_trial2",1,6,2,"TangPoem","xiama1yinjunjiu1","Sougou","MAC",24,"Mandarin","M","Simplified","1/15/2015","0","x","initial","1","1","TangPoem_1"
"tang_session1_trial2",1,1,2,"TangPoem","xia1ma1yinliao_*junz1*jiu1","Apple","MAC",23,"Cantonese","F","Simplified","12/16/2014","1","ia","final","1","1","TangPoem_1"
"tang_session2_trial1",1,2,1,"TangPoem","xiama_yinjunjiu_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","1","ia","final","1","1","TangPoem_1"
"tang_session2_trial2",1,2,2,"TangPoem","xiama_yinjunjiu_","Apple","MAC",24,"Mandarin","F","Simplified","12/18/2014","1","ia","final","1","1","TangPoem_1"
"tang_session5_trial1",1,5,1,"TangPoem","xiamayinjunjiu2","Baidu","MAC",25,"Hubei","F","Simplified","1/15/2015","1","ia","final","1","1","TangPoem_1"
